Agriculture & Related Subjects,"Architecture, Building & Planning",Biological Sciences (excluding Psychology),Business & Administrative Studies,Combined,Computer Science,Creative Arts & Design,Economics,Education,Engineering & Technology,English Studies,Historical & Philosophical Studies,Languages (excluding English Studies),Law,Mass Communications & Documentation,Mathematical Sciences,Medicine & Dentistry,Nursing,Physical Sciences,Psychology,Social Studies (excluding Economics),Subjects Allied to Medicine (excluding Nursing),All degrees,Veterinary Science
10.72699574,14.04914487,19.4204196,15.27613544,11.42440153,12.87556542,17.09989426,20.28731922,12.78869722,12.19623285,19.25918579,18.75854383,17.54833456,16.68843334,17.20759861,18.20832792,13.39724517,7.223041149,15.26764129,15.82180894,14.89308101,11.84449997,14.70214868,11.82472034
9.48743766,11.69951061,15.54088399,12.70358286,9.427629848,11.20815316,13.54518605,16.21710335,10.7987391,10.74583632,14.88212902,14.58718362,13.73489234,14.34263201,13.90759398,14.67243885,11.23471726,6.431790653,12.72927006,12.90119788,12.30632388,9.958527236,12.24712148,9.524135784
8.48233213,9.919936794,12.82623134,10.78527341,7.861092111,9.899849233,10.9978645,13.39604016,9.258990869,9.590630939,11.85148941,11.67568149,11.02667142,12.57935143,11.53030099,12.15748647,9.578842466,5.756849207,10.83405976,10.75446548,10.37349662,8.482202845,10.40255444,7.737048892
7.650410883,8.520546875,10.81478332,9.296245211,6.588830173,8.845473931,9.068996333,11.3213251,8.028368785,8.64865022,9.609811842,9.510716769,8.986226624,11.20556063,9.729248486,10.27116943,8.265897612,5.172797804,9.361945867,9.102974777,8.86913319,7.289475907,8.961978473,6.291404922
6.950024847,7.38698966,9.259990405,8.103841756,5.525434906,7.977257219,7.545514775,9.72783227,7.018885645,7.865699802,7.867806521,7.82247084,7.377906058,10.10503058,8.311576019,8.79892926,7.195514137,4.66101389,8.182795831,7.786921276,7.660323627,6.300684388,7.802328314,5.08168168
6.351875541,6.446243862,8.018166284,7.124756392,4.614367356,7.249563522,6.300692479,8.462494843,6.17278681,7.204514159,6.460056235,6.455245428,6.063189602,9.203596269,7.161337165,7.613488129,6.30270463,4.207534839,7.214711473,6.708022855,6.663594033,5.462952047,6.845667561,4.039093791
5.834748641,5.649460013,6.999882064,6.304017439,3.816510225,6.630537368,5.254220279,7.430744684,5.450573185,6.638623808,5.284779277,5.312595606,4.954976986,8.451703822,6.204577933,6.634526907,5.543504329,3.801674036,6.403563734,5.802451266,5.823839746,4.739745632,6.040216525,3.116378942
5.382909799,4.962687448,6.146534512,5.603869718,3.10373061,6.097265615,4.352513813,6.570984613,4.824288265,6.148712438,4.275548468,4.331276863,3.995400426,7.814983484,5.391852154,5.808819907,4.887076882,3.435106806,5.712129437,5.026884987,5.103179152,4.104953885,5.350207858,2.279437884
4.984436809,4.361560782,5.418090776,4.997507633,2.455055516,5.632846635,3.558222388,5.841357833,4.273565715,5.720349971,3.386784051,3.467758545,3.144130217,7.26885052,4.688791342,5.099666285,4.311125352,3.101242952,5.11395792,4.350827861,4.474673696,3.539359241,4.750118515,1.502432595
4.647201235,3.996197643,4.907475703,4.574564577,2.211684071,5.207271262,3.175798685,5.290097134,3.936452867,5.300541652,2.976945215,3.062771194,2.767224718,6.639171299,4.253701848,4.625920504,3.960410368,2.94899328,4.683756325,3.955423466,4.088460993,3.254923212,4.351759828,1.259031167
4.361017028,3.828222059,4.572181119,4.301898857,2.332938038,4.814113864,3.147215089,4.880710742,3.778991604,4.889101284,2.980514291,3.052541927,2.804005058,5.950882206,4.039764617,4.343705841,3.79873987,2.957030296,4.390738477,3.794629629,3.904137801,3.213367826,4.12004596,1.513111511
4.102305534,3.673188601,4.271168211,4.054907278,2.445008862,4.463799801,3.118246129,4.516669657,3.633315493,4.523325955,2.981286461,3.040518228,2.835783266,5.3571397,3.844092293,4.088431285,3.649314532,2.96195647,4.126113622,3.645985317,3.734600167,3.172474363,3.908769229,1.756271732
3.867186765,3.529653396,3.999248891,3.830041253,2.54796689,4.14937813,3.088982921,4.190486076,3.498148541,4.195658807,2.979494909,3.026881343,2.862857292,4.838435233,3.664416612,3.856317436,3.510792617,2.964018309,3.885832877,3.508161867,3.57812973,3.132253244,3.715300805,1.987087633
3.652477652,3.396380488,3.752224594,3.624375768,2.641962868,3.865311137,3.059506347,3.89621907,3.37239132,3.900106211,2.975359625,3.011800404,2.885522051,4.38019419,3.498829541,3.644256688,3.382020903,2.963451248,3.666576169,3.380017496,3.43326383,3.09271201,3.537443422,2.204411941
3.455538647,3.272304711,3.526662057,3.435476734,2.727214769,3.607130721,3.029888775,3.629093581,3.255094311,3.631855116,2.969089307,2.995431401,2.904067453,3.971303147,3.345714489,3.449671052,3.262003826,2.96047661,3.465600065,3.260566495,3.298750131,3.053854527,3.373345482,2.40738371
3.274165277,3.156503585,3.319723677,3.261302655,2.803998329,3.371193612,3.000195909,3.385227555,3.145430503,3.386991578,2.960877327,2.977918207,2.918777083,3.60313065,3.203692997,3.270403499,3.149876483,2.955303995,3.28061365,3.148951757,3.173510687,3.015681229,3.221437317,2.595419967
3.106498483,3.048173154,3.129046494,3.100128944,2.872636322,3.154496052,2.97048487,3.161430853,3.042677811,3.162302557,2.950905639,2.959393278,2.929924495,3.268864724,3.071581064,3.104636025,3.04488439,2.948129065,3.109691217,3.044425224,3.056612146,2.978192071,3.080377636,2.768202069
2.950963278,2.94661172,2.952644137,2.950488511,2.933485207,2.954540691,2.940807815,2.955057347,2.946201359,2.955122207,2.939343548,2.939978346,2.937774142,2.963051689,2.948358867,2.950824481,2.946366145,2.939136076,2.951201439,2.946331939,2.947241506,2.941383909,2.949014978,2.925654338
