Agriculture & Related Subjects,"Architecture, Building & Planning",Biological Sciences (excluding Psychology),Business & Administrative Studies,Combined,Computer Science,Creative Arts & Design,Economics,Education,Engineering & Technology,English Studies,Historical & Philosophical Studies,Languages (excluding English Studies),Law,Mass Communications & Documentation,Mathematical Sciences,Medicine & Dentistry,Nursing,Physical Sciences,Psychology,Social Studies (excluding Economics),Subjects Allied to Medicine (excluding Nursing),All degrees,Veterinary Science
2.80621352,2.851201446,2.788836487,2.811123843,2.986929048,2.769232679,2.911209995,2.763892623,2.85544326,2.763221622,2.926348512,2.919785108,2.942578219,2.681263218,2.833139544,2.807649223,2.85373989,2.928496016,2.803752413,2.854094165,2.844688996,2.905252253,2.826354666,3.067915318
2.671092938,2.761398377,2.636190093,2.680953185,3.033369235,2.59680121,2.881731124,2.586069112,2.769908863,2.584720225,2.912066926,2.89891615,2.94457811,2.419862418,2.725152042,2.673976178,2.766491606,2.91636893,2.666150552,2.767202353,2.7483306,2.869791222,2.711532289,3.195308456
2.544602477,2.676719924,2.493477023,2.559039539,3.073217274,2.43573874,2.852408409,2.419999195,2.689159203,2.418020933,2.896633586,2.877464315,2.94400191,2.175823931,2.623719317,2.548824322,2.68416463,2.902903555,2.53736486,2.685203668,2.657616114,2.83499375,2.603794283,3.308310314
2.425874083,2.596738573,2.359636964,2.444566931,3.106888245,2.284752251,2.823271516,2.264324282,2.612803154,2.261756074,2.880173905,2.855515891,2.941066222,1.946604755,2.528246895,2.431341197,2.606353394,2.888237136,2.416501321,2.607694985,2.572059008,2.800851546,2.502480143,3.407519217
2.31415085,2.521071858,2.233749992,2.33682176,3.134795539,2.142727638,2.794348491,2.117874034,2.540491085,2.114748774,2.862803372,2.833148853,2.935974193,1.730042261,2.438209579,2.320782139,2.532695127,2.872497671,2.302780089,2.534316999,2.49122708,2.767356441,2.407007829,3.493626541
2.208768255,2.44937839,2.115014428,2.235177754,3.15734489,2.008696843,2.765663503,1.979633895,2.471909504,1.975978478,2.844628644,2.810433556,2.928917528,1.524278452,2.353141843,2.216494444,2.462865348,2.855802548,2.195518071,2.464747055,2.414734406,2.734498151,2.316863811,3.567388353
2.109141293,2.3813517,2.002727281,2.139081694,3.174933684,1.881815923,2.737236966,1.848719661,2.406776501,1.84455562,2.825747144,2.787435572,2.920074896,1.327698107,2.272629587,2.117901925,2.396572076,2.838260958,2.09411355,2.398695226,2.342236754,2.70226658,2.231591742,3.629602244
2.014752628,2.316716206,1.896268985,2.048044395,3.187944207,1.761343509,2.709086484,1.72435568,2.344837873,1.719700125,2.806249081,2.764212931,2.909614053,1.138882254,2.196303216,2.02449573,2.333552821,2.819972641,1.998035327,2.335900958,2.273424716,2.67065161,2.150785991,3.681086186
1.925142752,2.255222612,1.795092566,1.961630464,3.196744184,1.646626917,2.681227664,1.605858132,2.285863799,1.600724745,2.786216989,2.740819135,2.89769071,0.956569222,2.123832035,1.935823965,2.273569702,2.801029976,1.906812127,2.276128162,2.208019964,2.639642307,2.074084074,3.72266205
1.839902962,2.19664655,1.698712258,1.879451504,3.201685039,1.537086243,2.653673771,1.492621443,2.229645985,1.487019974,2.765726487,2.717302235,2.884449687,0.779622859,2.05491821,1.851482991,2.216407938,2.781517815,1.820023745,2.219163003,2.145771849,2.609226874,2.001161406,3.755139444
1.758667371,2.140783455,1.606693798,1.801160418,3.203098651,1.432206236,2.626435469,1.384105292,2.175995203,1.378042931,2.744846979,2.693706488,2.870025767,0.607007673,1.989294988,1.771112797,2.161872452,2.761513414,1.737295346,2.164811988,2.086453692,2.579394574,1.931725927,3.779307097
